userName,at,score,content,sentimen
Pengguna Google,2025-04-13 21:57:00,5,baru mulai belajar menabung saham semoga jadi pasif income yang baik utk masa depan,Positif
Pengguna Google,2025-04-13 15:20:39,5,aplikasi bagus,Positif
Pengguna Google,2025-04-13 10:17:42,4,Ga bisa di buka udah setor dana memang ashuuii🤣🤣🤣,Positif
Pengguna Google,2025-04-13 07:01:29,5,ini termasuk apk investasi buat pemula yg bagus  mantap lah pokoknya,Positif
Pengguna Google,2025-04-13 05:16:33,2,perbaiki terus sistem apk nya,Negatif
Pengguna Google,2025-04-13 03:57:28,3,kok skrg pke biaya admin setiap mo bayar pke bri sih  biasanya ga bayar,Netral
Pengguna Google,2025-04-13 00:31:27,5,semoga membantu kita untuk selalu sukses berinvestasi,Positif
Pengguna Google,2025-04-12 07:27:11,5,good,Positif
Pengguna Google,2025-04-12 03:18:47,5,Cool apps ,Positif
Pengguna Google,2025-04-11 18:28:21,5,Sangat cocok buat pemula seperti saya,Positif
Pengguna Google,2025-04-11 14:08:07,4,bagus,Positif
Pengguna Google,2025-04-11 04:10:24,5,bagus buat investasi dari jangka panjang maupun jangka pendek,Positif
Pengguna Google,2025-04-10 23:35:16,4,baru belajar nii  kalo bagus nanti aku balik lagii,Positif
Pengguna Google,2025-04-10 22:28:33,1,apk sangat lemot sekali   saya kasih bintang satu aja,Negatif
Pengguna Google,2025-04-10 19:20:22,1,makin lama makin GK jelas ni apk  masak apk sekelas bibit susah untuk di buka  tolong di perbaikin  udah hampir tiga Minggu GK bisa akses  udah hapus cache  cookie  uninstall  instal lagi tetap sama!,Negatif
Pengguna Google,2025-04-10 15:16:53,1,gk bisa daftar,Negatif
Pengguna Google,2025-04-10 10:50:57,4,membantu untuk menabung,Positif
Pengguna Google,2025-04-10 07:07:10,5,bagus buat pemula yang mau investasi,Positif
Pengguna Google,2025-04-10 03:08:00,5,mantap aman,Positif
Pengguna Google,2025-04-10 02:30:12,5,good job,Positif
Pengguna Google,2025-04-10 02:16:32,5,mantap 👍,Positif
Pengguna Google,2025-04-10 00:52:49,5,mantap,Positif
Pengguna Google,2025-04-09 23:34:31,5,sangat bagus dan bermanfaat,Positif
Pengguna Google,2025-04-09 18:54:58,5,untuk ke depan nya transaksi jual beli reksa dana nya mohon di percapat,Positif
Pengguna Google,2025-04-09 15:46:59,1,Pencarian lama  nunggu verifikasi penjualan aja hampir 10 hari  Trus nunggu lagi 7 hari baru uang di transfer ke rekening pencarian  hadeh ga lagi-lagi deh😪 kelamaan  padahal cuma 500ribu tapi lama bener pencariannya,Negatif
Pengguna Google,2025-04-09 15:21:48,1,cocok bgt untuk pemula tapi sayang harus wajib terhubung sama akun bang jago dan stockbit KLO ada masalah kayak lupa pw itu udh kayak badut GK bisa NGAPA-NGAPAIN!! (cuman bisa reksa dana aja) bikin pusing knp GK disatuin aja app stockbit sama bibit dan TOLONG dipermudah agar bisa pakai akun selain bank jago  saya ada kendala lupa pw akun bank jago dah lama  akunnya terhubung sama email lama yang saya hapus dikarenakan Handphone saya dicuri beserta dengan nomor handphonenya,Negatif
Pengguna Google,2025-04-09 13:39:16,5,so far Paling konsisten untuk jual beli saham dan paling sportif keep in that way yaa,Positif
Pengguna Google,2025-04-09 12:30:22,5,👍🏾👍🏾👍🏾,Positif
Pengguna Google,2025-04-09 10:40:36,1,modal awal hilang  ga saranin pake app ini kalo buat pemula,Negatif
Pengguna Google,2025-04-09 09:16:38,5,Coba dulu  kalo bagus lanjut terus  sejauh ini memuaskan,Positif
Pengguna Google,2025-04-09 08:54:33,5,bagus bgt buat yang mau belajar saham informasi mudah dimengerti saya sudah 3 bulan belajar saham dri bibi bintang 5 josssss,Positif
Pengguna Google,2025-04-09 08:43:17,5,baik,Positif
Pengguna Google,2025-04-09 08:07:18,5,bagus  mudah dimengerti,Positif
Pengguna Google,2025-04-09 04:43:51,4,bagus,Positif
Pengguna Google,2025-04-09 04:41:55,2,Buruk pncairan lama,Negatif
Pengguna Google,2025-04-09 03:33:20,5,mantap,Positif
Pengguna Google,2025-04-09 02:54:38,5,baik,Positif
Pengguna Google,2025-04-09 02:18:33,4,UInya mudah dipahami,Positif
Pengguna Google,2025-04-09 02:18:33,5,Mantap,Positif
Pengguna Google,2025-04-09 01:30:04,5,aku sangat suka dengan aplikasi ini,Positif
Pengguna Google,2025-04-08 22:11:11,2,tolong pihak bibit aset nya ga bisa di jual asik tulisan nya penjual hanya bisa saat 2-3 hari jam kerja tapi sampai skrng blm bisa di jual    ,Negatif
Pengguna Google,2025-04-08 17:12:05,1,knp pilihan penarikannya cuma bank doang  nggak di e wallet??,Negatif
Pengguna Google,2025-04-08 10:47:20,5,aplikasi trading terbaik👍,Positif
Pengguna Google,2025-04-08 08:15:50,4,masa depan cerah,Positif
Pengguna Google,2025-04-08 08:15:13,5,sangat membantu semoga berkah selalu,Positif
Pengguna Google,2025-04-08 07:03:01,5,Kumplit sih dan akrg baru tau ada intrumen jual beli saham Tinggal adain instrumen nabung emas  dan crypto,Positif
Pengguna Google,2025-04-08 06:53:18,1,aplikasi nggak bisa dibuka dan jika buat akun katanya beda orang padahal sama aja cuman itu KTP pas masa sma sudah 6 tahun yakali buat KTP baru,Negatif
Pengguna Google,2025-04-08 05:16:41,1,Sangat membantu,Negatif
Pengguna Google,2025-04-08 04:36:28,1,terhambat dalam penambahan rekening bank BNI di karenakan ada proses verifikasi link jago  padahal saya tidak pernah mendaftarkan akun jago,Negatif
Pengguna Google,2025-04-07 23:43:20,2,ini gmnaa yaaa saya udah investasi 1jt udahh hampir seminggu ga naik naik mau di jual jugaa gabisa terus saya coba investasi kn 100ribu Lg siapa tau ada yg eror tp sampe skrng juga blum ada perubahan mau jual pun gada tombol jualnya nuggu 2/3hari kerja padahal udah lebih dari 3hari yg 100ribu sedangkan yg 1jt udah lebih dari 2minggu tolong bgt di kasih solusinya,Negatif
